Function Map,,,,,,,,,,,,,,,,,,
Officially Documented Addresses,,Auto-analysis possible functions,,User-guessed functions,,,,,,,,Symgrate,,,,,,
20221112.r2,,Binja,Ghidra,fventuri,,,,nu (0x6E75),,,,Binary Ninja (binja),,radare2,,Ghidra,,Library
address,note,address,address,address,function,guess/fact,notes,address,function,guess/fact,notes,address,signature match,address,signature match,address,signature match,
,,,,,,,,08000000,bootloader start address,g,based on G90 & STM32,,,,,,,
0x08020000,f _base,,,,,,,,,,,,,,,,,
,,sub_8020002,,,,,,,,,,,,,,,,
,,sub_80201d4,FUN_080201d4,,,,,,,,,080201d4,frame_dummy,,,,,
,,sub_80201f0,FUN_080201f0,,,,,,,,,080201f0,arm_bitreversal_32,080201f0,arm_bitreversal_32,080201f0,arm_bitreversal_32,/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.5.0.0.pack/CMSIS/Lib/GCC/libarm_cortexM3l_math.a
,,sub_80201f8,,,,,,,,,,0802025a,arm_bitreversal_32,,,,,
,,sub_802025a,,,,,,,,,,,,,,,,
,,sub_8020262,,,,,,,,,,,,,,,,
,,sub_80202b0,FUN_080202b0,080202b0,STRLEN_g,g,,,,,,080202b0,strlen,,,,,
,,sub_80202c0,FUN_080202c0,080202c0,memchr,,,,,,,,,,,,,
,,sub_8020360,,,,,,,,,,08020360,__aeabi_drsub,,,,,
,,sub_8020368,FUN_08020368,,,,,,,,,08020368,__aeabi_dsub,,,,,
,,sub_802036c,FUN_0802036c,0802036c,__aeabi_dadd,,,,,,,0802036c,__aeabi_dadd,0802036c,__aeabi_dadd,0802036c,__aeabi_dadd,/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/lib/gcc/arm-none-eabi/7.2.1/thumb/v7-ar/fpv3/hard/libgcc.a
,,sub_80205e4,FUN_080205e4,080205e4,__aeabi_ui2d,,,,,,,080205e4,__aeabi_ui2d,080205e4,__aeabi_ui2d,080205e4,__aeabi_ui2d,/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/lib/gcc/arm-none-eabi/7.2.1/thumb/v7-ar/fpv3/hard/libgcc.a
,,sub_80205ee,,,,,,,,,,,,,,,,
,,sub_8020604,FUN_08020604,08020604,__aeabi_ui2d,,,,,,,08020604,__aeabi_ui2d,08020604,__aeabi_ui2d,08020604,__aeabi_ui2d,/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/lib/gcc/arm-none-eabi/7.2.1/thumb/v7-ar/fpv3/hard/libgcc.a
,,sub_802060e,,,,,,,,,,,,,,,,
,,sub_8020628,FUN_08020628,08020628,__aeabi_f2d,,,,,,,08020628,__aeabi_f2d,08020628,__aeabi_f2d,08020628,__aeabi_f2d,/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/lib/gcc/arm-none-eabi/7.2.1/thumb/v7-ar/fpv3/hard/libgcc.a
,,sub_802065a,,,,,,,,,,0802066c,__aeabi_ul2d,,,,,
,,sub_802066c,,,,,,,,,,0802067c,__aeabi_l2d,,,,,
,,sub_8020674,,,,,,,,,,,,,,,,
,,sub_802067c,,,,,,,,,,,,,,,,
,,sub_8020684,,,,,,,,,,,,,,,,
