 address			function/certainty			who found it			notes
08000000			flashmemstart/bootloader_g_			stm32f427zg.pdf#page=86			based on G90 & STM32
08020000			firmware_base_f_			startup_stm32f427xx.s			
08020002			UNKNOWN						
080201d4			UNKNOWN						
080201f0			arm_bitreversal_32_g_			symgrate			/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.5.0.0.pack/CMSIS/Lib/GCC/libarm_cortexM3l_math.a
0802025a			arm_bitreversal_32_g_			symgrate			
0802025a			UNKNOWN						
08020262			UNKNOWN						
080202b0			STRLEN_g			fventuri/symgrate			
080202c0			memchr			fventuri			
08020360			__aeabi_drsub_g_			symgrate			
08020368			__aeabi_dsub_g_			symgrate			
0802036c			__aeabi_dadd_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/lib/gcc/arm-none-eabi/7.2.1/thumb/v7-ar/fpv3/hard/libgcc.a
080205e4			__aeabi_ui2d_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/lib/gcc/arm-none-eabi/7.2.1/thumb/v7-ar/fpv3/hard/libgcc.a
080205ee			UNKNOWN						
08020604			__aeabi_ui2d_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/lib/gcc/arm-none-eabi/7.2.1/thumb/v7-ar/fpv3/hard/libgcc.a
0802060e			UNKNOWN						
08020628			__aeabi_f2d_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/lib/gcc/arm-none-eabi/7.2.1/thumb/v7-ar/fpv3/hard/libgcc.a
0802066c			__aeabi_ul2d_g_			symgrate			
0802067c			__aeabi_l2d_g_			symgrate			
08020674			UNKNOWN						
0802067c			UNKNOWN						
08020684			UNKNOWN						
